cited_by_id,scientificName,distance_to_terminus,article_id
(Doherty et al. 2016) core source_claim,Cyclura cychlura,1,(Alberts 2000) core source_EXCLUDE_NA_No claim
(Doherty et al. 2016) core source_claim,Neophema chrysogaster,1,(Garnett et al. 2011) core source_EXCLUDE_NA_No claim
(IUCN 2025) core source_claim,Onychogalea lunata,1,(Dickman 1996b) core source_EXCLUDE_NA_No claim
(IUCN 2025) core source_claim,Perameles eremiana,1,(Dickman 1996b) core source_EXCLUDE_NA_No claim
(IUCN 2025) core source_claim,Macrotis leucura,1,(Dickman 1996b) core source_EXCLUDE_NA_No claim
(IUCN 2025) core source_claim,Gallinula nesiotis,1,(Hume 2017) core source_EXCLUDE_NA_No claim
(Welch & Leppanen 2017) core source_claim,Pteropus melanotus,1,(IUCN 2025) core source_EXCLUDE_NA_No claim
(Woinarski et al. 2014) core source_claim,Caloprymnus campestris,1,(Dickman 1996b) core source_EXCLUDE_NA_No claim
(Woinarski et al. 2014) core source_claim,Notomys macrotis,1,(Dickman 1996b) core source_EXCLUDE_NA_No claim
(Woinarski et al. 2014) core source_claim,Notomys mordax,1,(Dickman 1996b) core source_EXCLUDE_NA_No claim
(Woinarski et al. 2014) core source_claim,Notomys robustus,1,(Dickman 1996b) core source_EXCLUDE_NA_No claim
(Woinarski et al. 2014) core source_claim,Onychogalea lunata,1,(Dickman 1996b) core source_EXCLUDE_NA_No claim
(Woinarski et al. 2014) core source_claim,Perameles eremiana,1,(Dickman 1996b) core source_EXCLUDE_NA_No claim
(Woinarski et al. 2014) core source_claim,Pseudomys auritus,1,(Dickman 1996b) core source_EXCLUDE_NA_No claim
(Woinarski et al. 2014) core source_claim,Pseudomys glaucus,1,(Dickman 1996b) core source_EXCLUDE_NA_No claim
(Woinarski et al. 2014) core source_claim,Macrotis leucura,1,(Dickman 1996b) core source_EXCLUDE_NA_No claim
(Doherty et al. 2016) core source_claim,Reithrodontomys raviventris,1,(IUCN 2025) core source_INCLUDE_NA_Predation in support_no_no
(Doherty et al. 2016) core source_claim,Pezophaps solitaria,2,(Hume 2017) core source_INCLUDE_NA_Population in support_yes_no
(Doherty et al. 2016) core source_claim,Cyclura collei,1,(Alberts 2000) core source_INCLUDE_NA_Predation in support_no_no
(Doherty et al. 2016) core source_claim,Cyclura lewisi,1,(IUCN 2025) core source_INCLUDE_NA_Predation in support_no_no
(Doherty et al. 2016) core source_claim,Cyclura pinguis,1,(IUCN 2025) core source_INCLUDE_NA_Predation in support_no_no
(Doherty et al. 2016) core source_claim,Pezoporus occidentalis,1,(Garnett et al. 2011) core source_INCLUDE_NA_Population in support_no_no
(Doherty et al. 2016) core source_claim,Pezoporus occidentalis,1,(Garnett et al. 2011) core source_INCLUDE_NA_Predation in support_no_no
(Doherty et al. 2016) core source_claim,Brachylophus vitiensis,1,(IUCN 2025) core source_INCLUDE_NA_Predation in support_no_no
