cited_by_id,article_id,edge_type,scientificName,encounter_method
(ACAP 2009b)_EXCLUDE_0_Opinion claim_NA_NA,(Taylor 2000)_EXCLUDE_0_Opinion claim_NA_NA,citation,Diomedea epomophora,snowball
(Adams et al. 1997)_EXCLUDE_0_Opinion claim_NA_NA,(Williams 1991)_INCLUDE_NA_Predation in support_no_no,citation,Hymenolaimus malacorhynchos,snowball
(Alberts 2000) core source_claim,(Iverson 1978)_INCLUDE_NA_Predation in support_no_no,citation,Cyclura carinata,core_sources
(Alberts 2000) core source_claim,(Moreno 1995)_EXCLUDE_0_Inaccessible_NA_NA,citation,Cyclura stejnegeri,core_sources
(Alberts 2000) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura collei,citation,Cyclura collei,core_sources
(Alberts 2000) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura cornuta,citation,Cyclura cornuta,core_sources
(Alberts 2000) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura lewisi,citation,Cyclura lewisi,core_sources
(Alberts 2000) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura pinguis,citation,Cyclura pinguis,core_sources
(Alberts 2000) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura ricordii,citation,Cyclura ricordii,core_sources
(Alberts 2000) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Iguana delicatissima,citation,Iguana delicatissima,core_sources
(Alterio et al. 1998)_EXCLUDE_1_Opinion claim_NA_NA,(Darby et al. 1990)_INCLUDE_NA_Predation in support_no_no,citation,Megadyptes antipodes,snowball
(Alterio et al. 1998)_EXCLUDE_1_Opinion claim_NA_NA,(Fechney et al. 1993)_EXCLUDE_0_Inaccessible_NA_NA,citation,Megadyptes antipodes,snowball
(Alterio et al. 1998)_EXCLUDE_1_Opinion claim_NA_NA,(Moller et al. 1995)_EXCLUDE_0_Inaccessible_NA_NA,citation,Megadyptes antipodes,snowball
(Alterio et al. 1998)_EXCLUDE_1_Opinion claim_NA_NA,(Ratz et al. 1992)_EXCLUDE_0_Inaccessible_NA_NA,citation,Megadyptes antipodes,snowball
(Amarasekare 1993)_EXCLUDE_1_Opinion claim_NA_NA,(Pletschet & Kelly 1990)_INCLUDE_NA_Predation in support_no_no,citation,Loxioides bailleui,snowball
(Arcos 2011)_EXCLUDE_0_Inaccessible_NA_NA,(Ruiz & Martí 2004)_EXCLUDE_0_Not in English or Spanish_NA_NA,citation,Puffinus mauretanicus,snowball
(Atkinson & Atkinson 2000)_EXCLUDE_0_Opinion claim_NA_NA,(Imber 1975)_EXCLUDE_0_Inaccessible_NA_NA,citation,Procellaria parkinsoni,snowball
(Bain et al. 2020)_EXCLUDE_1_Opinion claim_NA_NA,(Christensen & Kimber 1975)_EXCLUDE_1_Inaccessible_NA_NA,citation,Setonix brachyurus,snowball
(Bain et al. 2020)_EXCLUDE_1_Opinion claim_NA_NA,(Hayward et al. 2004)_EXCLUDE_1_Opinion claim_NA_NA,citation,Setonix brachyurus,snowball
(Bain et al. 2020)_EXCLUDE_1_Opinion claim_NA_NA,(Hayward et al. 2003)_EXCLUDE_1_No claim_NA_NA,citation,Setonix brachyurus,snowball
(Banko 1992)_EXCLUDE_1_Opinion claim_NA_NA,(Hoshide et al. 1990)_INCLUDE_NA_Predation in support_no_no,citation,Branta sandvicensis,snowball
(Banko 1992)_EXCLUDE_1_Opinion claim_NA_NA,(Kear & Berger 1980)_EXCLUDE_0_Inaccessible_NA_NA,citation,Branta sandvicensis,snowball
(Banko et al. 2001)_EXCLUDE_1_Opinion claim_NA_NA,(Pratt et al. 1997)_INCLUDE_NA_Predation in support_no_no,citation,Loxioides bailleui,snowball
(Banko et al. 2001)_INCLUDE_NA_Predation in support_no_no,(Pratt et al. 1997)_INCLUDE_NA_Predation in support_no_no,citation,Loxioides bailleui,snowball
(Banko et al. 2002b)_EXCLUDE_1_Opinion claim_NA_NA,(Banko et al. 2020)_EXCLUDE_0_Inaccessible_NA_NA,citation,Loxioides bailleui,snowball
(Banko et al. 2002b)_EXCLUDE_1_Opinion claim_NA_NA,(Pratt et al. 1997)_INCLUDE_NA_Predation in support_no_no,citation,Loxioides bailleui,snowball
(Banko et al. 2002b)_EXCLUDE_1_Opinion claim_NA_NA,(van Riper III 1980b)_EXCLUDE_1_No claim_NA_NA,citation,Loxioides bailleui,snowball
(Banko et al. 2014a)_INCLUDE_NA_Predation in support_no_no,(Banko et al. 2009)_EXCLUDE_?_Inaccessible_NA_NA,citation,Loxioides bailleui,snowball
(Banko et al. 2014a)_INCLUDE_NA_Predation in support_no_no,(Hess et al. 2004)_INCLUDE_NA_Predation in support_no_no,citation,Loxioides bailleui,snowball
