node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support,evidence_type_synthetic_simple
(ACAP 2009b)_EXCLUDE_NA_Expert opinion_NA_NA,(ACAP 2009b),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Adams et al. 1997)_EXCLUDE_NA_Expert opinion_NA_NA,(Adams et al. 1997),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Alberts 2000) core source_claim,(Alberts 2000) core source,claim,"",Core claim,"",no,Core claim,Core claim,Core claim,Not relevant,Core claim
(Alterio et al. 1998)_EXCLUDE_NA_Expert opinion_NA_NA,(Alterio et al. 1998),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Amarasekare 1993)_EXCLUDE_NA_Expert opinion_NA_NA,(Amarasekare 1993),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Anthony 1925)_INCLUDE_NA_Predation in support_no_no,(Anthony 1925),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Arcos 2011)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Arcos 2011),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Arnaud et al. 1994)_EXCLUDE_NA_No claim_NA_NA,(Arnaud et al. 1994),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Arnaud et al. 1994)_INCLUDE_NA_Predation in support_no_no,(Arnaud et al. 1994),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Atkinson & Atkinson 2000)_EXCLUDE_NA_Expert opinion_NA_NA,(Atkinson & Atkinson 2000),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Bain et al. 2015)_INCLUDE_NA_Population not in support_yes_yes,(Bain et al. 2015),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Bain et al. 2015)_INCLUDE_NA_Predation in support_no_no,(Bain et al. 2015),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Bain et al. 2020)_EXCLUDE_NA_Expert opinion_NA_NA,(Bain et al. 2020),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Banko 1992)_EXCLUDE_NA_Expert opinion_NA_NA,(Banko 1992),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Banko et al. 2001)_EXCLUDE_NA_Expert opinion_NA_NA,(Banko et al. 2001),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Banko et al. 2001)_INCLUDE_NA_Predation in support_no_no,(Banko et al. 2001),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Banko et al. 2002b)_EXCLUDE_NA_Expert opinion_NA_NA,(Banko et al. 2002b),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Banko et al. 2014a)_INCLUDE_NA_Predation in support_no_no,(Banko et al. 2014a),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Banko et al. 2019)_INCLUDE_NA_Predation not in support_no_no,(Banko et al. 2019),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Barker & Williams 2002)_INCLUDE_NA_Predation not in support_no_no,(Barker & Williams 2002),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
