key,article_id,cited_by_id,scientificName,distance_to_terminus,article_node_name,Peer_reviewed_source,in_support,evidence_type_synthetic,has_data,of_quality,source_year
Acrocephalus aequinoctialis (Doherty et al. 2016) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Acrocephalus aequinoctialis,(Doherty et al. 2016) core source_claim,Acrocephalus aequinoctialis,2,NOTHING NA Acrocephalus aequinoctialis,"",Not relevant,No citation given,"",no,2014
Acrocephalus aequinoctialis (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Acrocephalus aequinoctialis,(IUCN 2025) core source_claim,Acrocephalus aequinoctialis,1,NOTHING NA Acrocephalus aequinoctialis,"",Not relevant,No citation given,"",no,2018
Acrocephalus aequinoctialis Web of Science_Systematic external review,NOTHING_EXCLUDE_NA_No citation given_NA_NA Acrocephalus aequinoctialis,Web of Science_Systematic external review,Acrocephalus aequinoctialis,3,NOTHING NA Acrocephalus aequinoctialis,"",Not relevant,No citation given,"",no,2025
Acrocephalus hiwae (IUCN 2025) core source_claim,(Camp et al. 2009)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Acrocephalus hiwae,1,(Camp et al. 2009),"",Not relevant,No claim,"",no,2023
Acrocephalus hiwae (IUCN 2025) core source_claim,(Mosher 2006)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Acrocephalus hiwae,1,(Mosher 2006),0,Not relevant,Inaccessible,"",no,2023
Acrocephalus hiwae (IUCN 2025) core source_claim,(USFWS 1998b)_EXCLUDE_0_Opinion claim_NA_NA,(IUCN 2025) core source_claim,Acrocephalus hiwae,1,(USFWS 1998b),"",Not relevant,Opinion claim,"",no,2023
Acrocephalus longirostris (Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Acrocephalus longirostris,(Hume 2017) core source_claim,Acrocephalus longirostris,1,NOTHING NA Acrocephalus longirostris,"",Not relevant,No citation given,"",no,2016
Acrocephalus longirostris (IUCN 2025) core source_claim,(Seitre & Seitre 1989)_EXCLUDE_0_Not in English or Spanish_NA_NA,(IUCN 2025) core source_claim,Acrocephalus longirostris,1,(Seitre & Seitre 1989),"",Not relevant,Not in English or Spanish,"",no,2018
Acrocephalus longirostris (IUCN 2025) core source_claim,(Thibault 1988)_EXCLUDE_0_Not in English or Spanish_NA_NA,(IUCN 2025) core source_claim,Acrocephalus longirostris,1,(Thibault 1988),"",Not relevant,Not in English or Spanish,"",no,2018
Acrocephalus musae (IUCN 2025) core source_claim,A. Gouni in litt. 2012_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Acrocephalus musae,1,A. Gouni in litt. 2012,0,Not relevant,Inaccessible,"",no,2022
Acrocephalus rimitarae (IUCN 2025) core source_claim,(BirdLife International 2000)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Acrocephalus rimitarae,2,(BirdLife International 2000),0,Not relevant,Inaccessible,"",no,2019
Acrocephalus rimitarae (IUCN 2025) core source_claim,(Thibault & Cibois 2006b)_EXCLUDE_?_Not in English or Spanish_NA_NA,(IUCN 2025) core source_claim,Acrocephalus rimitarae,1,(Thibault & Cibois 2006b),"",Not relevant,Not in English or Spanish,"",no,2019
