class,network_type,total_citation_chains,n_citations,percent,evidence_type
overall,Non-claimant network,630,270,42.8571428571429,Not primary data
overall,Non-claimant network,630,360,57.1428571428571,Primary data
overall,Non-claimant network,630,1,0.158730158730159,No citation given
overall,Non-claimant network,630,173,27.4603174603175,No claim
overall,Non-claimant network,630,38,6.03174603174603,Inaccessible
overall,Non-claimant network,630,58,9.20634920634921,Does not test claim
overall,Non-claimant network,630,184,29.2063492063492,Predation in support without data
overall,Non-claimant network,630,34,5.3968253968254,Predation not in support without data
overall,Non-claimant network,630,7,1.11111111111111,Population in support without data
overall,Non-claimant network,630,3,0.476190476190476,Population not in support without data
overall,Non-claimant network,630,50,7.93650793650794,Population in support with data
overall,Non-claimant network,630,37,5.87301587301587,Population not in support with data
overall,Non-claimant network,630,19,3.01587301587302,Population in support with data of quality
overall,Non-claimant network,630,26,4.12698412698413,Population not in support with data of quality
overall,Web of Science network,433,268,61.8937644341802,Not primary data
overall,Web of Science network,433,165,38.1062355658199,Primary data
overall,Web of Science network,433,1,0.23094688221709,No citation given
overall,Web of Science network,433,172,39.7228637413395,No claim
overall,Web of Science network,433,38,8.77598152424942,Inaccessible
overall,Web of Science network,433,57,13.1639722863741,Does not test claim
overall,Web of Science network,433,93,21.4780600461894,Predation in support without data
overall,Web of Science network,433,18,4.15704387990762,Predation not in support without data
overall,Web of Science network,433,4,0.92378752886836,Population in support without data
overall,Web of Science network,433,2,0.46189376443418,Population not in support without data
overall,Web of Science network,433,14,3.23325635103926,Population in support with data
overall,Web of Science network,433,12,2.77136258660508,Population not in support with data
overall,Web of Science network,433,9,2.07852193995381,Population in support with data of quality
overall,Web of Science network,433,13,3.00230946882217,Population not in support with data of quality
overall,claimant network,2304,1859,80.6857638888889,Not primary data
overall,claimant network,2304,445,19.3142361111111,Primary data
overall,claimant network,2304,527,22.8732638888889,No citation given
overall,claimant network,2304,339,14.7135416666667,No claim
overall,claimant network,2304,685,29.7309027777778,Inaccessible
