"","scientificName","spp_name_corrected","assessmentId","internalTaxonId","realm","systems","assessmentDate","redlistCategory","criteriaVersion","populationTrend","Synonyms_or_previous_lump","Cat_effect","EXCLUDE_cats_not_attributed","Web_of_Science_no_claim","Snowball","Wallach_AU_mammal_no_claim","Opportunistic","IUCN_references","Doherty_references0_NA","Dickman_AU_mammal","Medina_references0_NA","Woinarski_AU_mammal","Garnett2020_AU_birds","Garnett2010_AU_birds","Alberts_iguanas","Oedin_bats","Welch_bats","Hume_EX_birds","Hess","Search_conducted","Mass_g_final","exclude_species","class"
"1","Acrocephalus aequinoctialis","Acrocephalus aequinoctialis",149571193,22714802,"Oceanian","Terrestrial","2019-07-26 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,1,NA,"",NA,0,1,"",NA,"","","","","","","",NA,"2025-06-01T00:00:00Z",25,"included_species","Birds"
"2","Acrocephalus hiwae","Acrocephalus hiwae",242055637,103780118,"Oceanian","Terrestrial|Freshwater (=Inland waters)","2024-02-26 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,3,NA,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",35.6,"included_species","Birds"
"3","Acrocephalus longirostris","Acrocephalus longirostris",154471605,22735588,"Oceanian","Terrestrial","2019-07-15 00:00:00 UTC","Critically Endangered",3.1,"Unknown",NA,"Predation",NA,0,NA,"",NA,2,NA,"",NA,"","","","","","","0",NA,"2025-05-01T00:00:00Z",43.8,"included_species","Birds"
"4","Acrocephalus musae","Acrocephalus musae",243950218,22735592,"Oceanian","Terrestrial","2023-08-29 00:00:00 UTC","Extinct",3.1,"",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","Not attributed",NA,"2025-05-01T00:00:00Z",NA,"included_species","Birds"
"5","Acrocephalus rimitarae","Acrocephalus rimitarae",171783171,22714826,"Oceanian","Terrestrial|Freshwater (=Inland waters)","2020-04-08 00:00:00 UTC","Critically Endangered",3.1,"Decreasing","Acrocephalus rimatarae","Predation",NA,0,1,"",NA,2,NA,"",NA,"","","","","","","",NA,"2025-06-01T00:00:00Z",26.5,"included_species","Birds"
"6","Acrocephalus rodericanus","Acrocephalus rodericanus",94431545,22714874,"Afrotropical","Terrestrial","2016-10-01 00:00:00 UTC","Near Threatened",3.1,"Increasing","Bebrornis rodericanus rodericanus","Predation",NA,0,NA,"",NA,1,NA,"",1,"","","","","","","",NA,"2025-03-01T00:00:00Z",11.8,"included_species","Birds"
"7","Acrocephalus vaughani","Acrocephalus vaughani",180626682,22714832,"Oceanian","Terrestrial","2020-08-03 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,1,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",24.37,"included_species","Birds"
"8","Acrocephalus yamashinae","Acrocephalus yamashinae",241594199,103780103,"Oceanian","Terrestrial|Freshwater (=Inland waters)","2023-08-04 00:00:00 UTC","Extinct",3.1,"","","Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","0",NA,"2025-05-01T00:00:00Z",NA,"included_species","Birds"
"9","Aegotheles savesi","Aegotheles savesi",129328996,22689559,"Oceanian","Terrestrial","2016-10-01 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,2,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",52,"included_species","Birds"
"10","Agelaius xanthomus","Agelaius xanthomus",180529449,22724209,"Neotropical","Terrestrial","2020-08-27 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",38.4,"included_species","Birds"
