scientificName,spp_name_corrected,assessmentId,internalTaxonId,realm,systems,assessmentDate,redlistCategory,criteriaVersion,populationTrend,Synonyms_or_previous_lump,Cat_effect,EXCLUDE_cats_not_attributed,Web_of_Science_no_claim,Snowball,Wallach_AU_mammal_no_claim,Opportunistic,IUCN_references,Doherty_references0_NA,Dickman_AU_mammal,Medina_references0_NA,Woinarski_AU_mammal,Garnett2020_AU_birds,Garnett2010_AU_birds,Alberts_iguanas,Oedin_bats,Welch_bats,Hume_EX_birds,Hess,Search_conducted,Mass_g_final,exclude_species,class
Acrocephalus aequinoctialis,Acrocephalus aequinoctialis,149571193,22714802,Oceanian,Terrestrial,2019-07-26 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,1,,,,0,1,,,,,,,,,,,2025-06-01T00:00:00Z,25,included_species,Birds
Acrocephalus hiwae,Acrocephalus hiwae,242055637,103780118,Oceanian,Terrestrial|Freshwater (=Inland waters),2024-02-26 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,3,,,,,,,,,,,,2025-07-01T00:00:00Z,35.6,included_species,Birds
Acrocephalus longirostris,Acrocephalus longirostris,154471605,22735588,Oceanian,Terrestrial,2019-07-15 00:00:00 UTC,Critically Endangered,3.1,Unknown,NA,Predation,,0,,,,2,,,,,,,,,,0,,2025-05-01T00:00:00Z,43.8,included_species,Birds
Acrocephalus musae,Acrocephalus musae,243950218,22735592,Oceanian,Terrestrial,2023-08-29 00:00:00 UTC,Extinct,3.1,,NA,Predation,,0,,,,1,,,,,,,,,,Not attributed,,2025-05-01T00:00:00Z,,included_species,
Acrocephalus rimitarae,Acrocephalus rimitarae,171783171,22714826,Oceanian,Terrestrial|Freshwater (=Inland waters),2020-04-08 00:00:00 UTC,Critically Endangered,3.1,Decreasing,Acrocephalus rimatarae,Predation,,0,1,,,2,,,,,,,,,,,,2025-06-01T00:00:00Z,26.5,included_species,Birds
Acrocephalus rodericanus,Acrocephalus rodericanus,94431545,22714874,Afrotropical,Terrestrial,2016-10-01 00:00:00 UTC,Near Threatened,3.1,Increasing,Bebrornis rodericanus rodericanus,Predation,,0,,,,1,,,1,,,,,,,,,2025-03-01T00:00:00Z,11.8,included_species,Birds
Acrocephalus vaughani,Acrocephalus vaughani,180626682,22714832,Oceanian,Terrestrial,2020-08-03 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,1,,,,,,,,,,,2025-07-01T00:00:00Z,24.37,included_species,Birds
Acrocephalus yamashinae,Acrocephalus yamashinae,241594199,103780103,Oceanian,Terrestrial|Freshwater (=Inland waters),2023-08-04 00:00:00 UTC,Extinct,3.1,,,Predation,,0,,,,1,,,,,,,,,,0,,2025-05-01T00:00:00Z,,included_species,
Aegotheles savesi,Aegotheles savesi,129328996,22689559,Oceanian,Terrestrial,2016-10-01 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,,,,0,2,,,,,,,,,,,2025-04-01T00:00:00Z,52,included_species,Birds
Agelaius xanthomus,Agelaius xanthomus,180529449,22724209,Neotropical,Terrestrial,2020-08-27 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-07-01T00:00:00Z,38.4,included_species,Birds
Algyroides marchi,Algyroides marchi,137842545,840,Palearctic,Terrestrial,2022-10-08 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,0,1,,,,,,,,,,,2025-06-01T00:00:00Z,,included_species,
Alopochen mauritiana,Alopochen mauritiana,246374796,22728658,Afrotropical,Freshwater (=Inland waters),2023-10-06 00:00:00 UTC,Extinct,3.1,,Alopochen mauritianus,Predation,,0,,,,1,,,,,,,,,,0,,2025-05-01T00:00:00Z,,included_species,
Alsophis rijgersmaei,Alsophis rijgersmaei,115053801,941,Neotropical,Terrestrial,2015-07-20 00:00:00 UTC,Endangered,3.1,Decreasing,Alsophis rijersmai,Predation,,0,,,,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Alsophis rufiventris,Alsophis rufiventris,115053994,942,Neotropical,Terrestrial,2015-07-21 00:00:00 UTC,Vulnerable,3.1,Stable,Dromicus rufiventris,Predation,,0,,,,0,2,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Amazona barbadensis,Amazona barbadensis,198373501,22686325,Neotropical,Terrestrial,2021-07-06 00:00:00 UTC,Near Threatened,3.1,Decreasing,NA,Predation,,1,,,,1,1,,,,,,,,,Not attributed,,2025-05-01T00:00:00Z,270,included_species,Birds
Amazona vittata,Amazona vittata,179276011,22686239,Neotropical,Terrestrial,2020-08-27 00:00:00 UTC,Critically Endangered,3.1,Increasing,NA,Predation,,1,,,,1,1,,1,,,,,,,Not attributed,,2025-05-01T00:00:00Z,279.28,included_species,Birds
Amblyrhynchus cristatus,Amblyrhynchus cristatus,177552193,1086,Neotropical,Terrestrial|Marine,2019-12-01 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,1,1,,,3,2,,2,,,,,,,,,2025-06-01T00:00:00Z,,included_species,Reptiles
Ameiva provitaae,Ameiva provitaae,50008982,50008980,Neotropical,Terrestrial,2014-11-26 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,Reptiles
Amerotyphlops tasymicris,Amerotyphlops tasymicris,115333951,194268,Neotropical,Terrestrial,2011-01-26 00:00:00 UTC,Endangered,3.1,Unknown,Typhlops tasymicris,Predation,,1,,,,1,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Amytornis ballarae,Amytornis ballarae,211119632,22735654,Australasian,Terrestrial,2021-11-23 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-07-01T00:00:00Z,20.97,included_species,Birds
Amytornis dorotheae,Amytornis dorotheae,213217656,22703786,Australasian,Terrestrial,2022-01-24 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,1,Not attributed,,,,,,2025-05-01T00:00:00Z,23.22,included_species,Birds
Amytornis merrotsyi,Amytornis merrotsyi,211877212,22732155,Australasian,Terrestrial,2021-12-13 00:00:00 UTC,Near Threatened,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,Not attributed,Not attributed,,,,,,2025-05-01T00:00:00Z,19.64,included_species,Birds
Anadia bogotensis,Anadia bogotensis,44578157,44578148,Neotropical,Terrestrial,2013-10-22 00:00:00 UTC,Near Threatened,3.1,Decreasing,Ecpleopus bogotensis,Predation,,0,,,,0,,,,,,,,,,,,2025-02-01T00:00:00Z,,included_species,
Anairetes fernandezianus,Anairetes fernandezianus,226451282,22699401,Neotropical,Terrestrial,2023-05-17 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,2,,,,,,,,,,,,2025-07-01T00:00:00Z,6.85,included_species,Birds
Anarhynchus frontalis,Anarhynchus frontalis,131876706,22693928,Oceanian,Freshwater (=Inland waters)|Marine,2018-08-07 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,0,,,,1,2,,,,,,,,,,,2025-04-01T00:00:00Z,57.64,included_species,Birds
Anas aucklandica,Anas aucklandica,194816119,22680280,Australasian,Freshwater (=Inland waters),2021-01-20 00:00:00 UTC,Near Threatened,3.1,Stable,NA,Predation,,1,3,,,2,2,,1,,,,,,,,,2025-06-01T00:00:00Z,499.09,included_species,Birds
Anas chlorotis,Anas chlorotis,182985187,22728303,Oceanian,Terrestrial|Freshwater (=Inland waters)|Marine,2020-08-24 00:00:00 UTC,Near Threatened,3.1,Increasing,NA,Predation,,2,7,,,5,4,,,,,,,,,,,2025-07-01T00:00:00Z,499.09,included_species,Birds
Anas eatoni,Anas eatoni,92854679,22680306,Afrotropical|Antarctic,Freshwater (=Inland waters)|Marine,2016-10-01 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,1,1,,,1,1,,,,,,,,,,,2025-03-01T00:00:00Z,944.62,included_species,Birds
