Effect_size_ID,scientificName,key,Description,unit_of_replication,Article,Article_secondary_same_data,effect_size_type,Abundance_reproduction,Prey_units,Cat_units,Source,Analysis_comment,Latitude,Longitude,Study_location,r,n,yi,vi,original_effect_size,Site,Sample_type,Prey_mean_cats_Absent,Prey_mean_cats_Present,Prey_error_cats_Absent,Prey_error_cats_Present,Number_of_samples_cats_Absent,Number_of_samples_cats_Present,Number_of_years_cats_Absent,Number_of_years_cats_Present,Number_of_sites_cats_Absent,Number_of_sites_cats_Present,n2,n1,Prey_and_cat_positive,Prey_and_cat_negative,Prey_positive_cat_negative,Prey_negative_cat_positive,analysis_group_level,analysis_group,n_effect_types,yi_analysis,vi_analysis,analysis_effect_size,Order_final,Mass_g_final,class,log_mass,locomotion_volant,ground_or_burrow_resting_or_nesting,Foraging_habitat_ground,prey_range_primary,prey_range_secondary,prey_range_tertiary,continent_island
ES_1,Cyclura carinata,lnOR SMD,Presence-absence,Islands,"Gerber, G.P. and Iverson, J.B., 2000. Turks and Caicos iguana, Cyclura carinata carinata. West Indian Iguanas: Status Survey and Conservation Action Plan. IUCN the World Conservation Union, Gland, Switzerland, pp.15-18.",,Odds Ratio,Abundance,Presence-absence,Presence-absence,"Fig 1,2",,21.694,-71.7979,Turks and Caicos Islands,,,-0.482426149244293,0.522222222222222,lnOR,,Number of islands,,,,,,,,,,,19,14,5,10,9,9,lumped,Abundance with/without cats,2,-0.259479423191511,0.158736521039663,SMD,Squamata,355,Reptiles,2.55022835305509,non_volant,other,other,inside,inside,inside,island
ES_1,Cyclura carinata,Abundance Presence-absence,Presence-absence,Islands,"Gerber, G.P. and Iverson, J.B., 2000. Turks and Caicos iguana, Cyclura carinata carinata. West Indian Iguanas: Status Survey and Conservation Action Plan. IUCN the World Conservation Union, Gland, Switzerland, pp.15-18.",,Odds Ratio,Abundance,Presence-absence,Presence-absence,"Fig 1,2",,21.694,-71.7979,Turks and Caicos Islands,,,-0.482426149244293,0.522222222222222,lnOR,,Number of islands,,,,,,,,,,,19,14,5,10,9,9,fine_scale,Abundance on islands with/without cats,2,-0.482426149244293,0.522222222222222,lnOR,Squamata,355,Reptiles,2.55022835305509,non_volant,other,other,inside,inside,inside,island
ES_10,Dasyurus geoffroii,Abundance Temporal correlation,Temporal correlation,Plots,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",,Correlation,Abundance,Camera trapping,Camera trapping,"Fig 6 A,B",,-31.37,138.59,Flinders Ranges National Park,0.378881772902106,54,0.398753347284257,0.0196078431372549,Zr,,,,,,,,,,,,,,,,,,,fine_scale,Abundance temporal association,1,0.398753347284257,0.0196078431372549,Zr,Dasyuromorphia,1100,Mammals,3.04139268515823,non_volant,other,other,inside,inside,inside,mainland
ES_11,Macrotis lagotis,Abundance Temporal correlation,Temporal correlation,Plots,"Geyle, H.M., Schlesinger, C., Banks, S., Dixon, K., Murphy, B.P., Paltridge, R., Doolan, L., Herbert, M. and Dickman, C.R., 2024. Corrigendum to: Unravelling predator–prey interactions in response to planned fire: a case study from the Tanami Desert. Wildlife Research, 51(9), pp.NULL-NULL.",,Correlation,Abundance,Camera trapping,Camera trapping,Figure 2,,-19.812,130.2837,"Tanami Desert, Northern Territory",0.670749660481242,6,0.812104665683293,0.333333333333333,Zr,,,,,,,,,,,,,,,,,,,fine_scale,Abundance temporal association,1,0.812104665683293,0.333333333333333,Zr,Peramelemorphia,1350,Mammals,3.13033376849501,non_volant,other,other,inside,inside,inside,mainland
ES_12,Pseudomys australis,Abundance Inside-outside,Inside-outside,Plots,"Moseby, K.E., McGregor, H., Hill, B.M. and Read, J.L., 2020. Exploring the internal and external wildlife gradients created by conservation fences. Conservation Biology, 34(1), pp.220-231.",,SMD,Abundance,Tracking,Tracking,Figure 4b,Analysed as a correlation in fox-cat review. Sample size could be regarded as 1 (single transect) or according to number of tracking plots,-30.29,136.53,"Roxby Downs, South Australia",,,-1.49329108794089,0.111938650969609,SMD,,Plots,38.87,1.03,29.11,1.26,40,15,1,1,1,1,40,15,,,,,fine_scale,Abundance inside/outside exclosure,1,-1.49329108794089,0.111938650969609,SMD,Rodentia,65,Mammals,1.81291335664286,non_volant,other,other,inside,inside,inside,mainland
ES_12,Pseudomys australis,Abundance Inside-outside,Inside-outside,Plots,"Moseby, K.E., McGregor, H., Hill, B.M. and Read, J.L., 2020. Exploring the internal and external wildlife gradients created by conservation fences. Conservation Biology, 34(1), pp.220-231.",,SMD,Abundance,Tracking,Tracking,Figure 4b,Analysed as a correlation in fox-cat review. Sample size could be regarded as 1 (single transect) or according to number of tracking plots,-30.29,136.53,"Roxby Downs, South Australia",,,-1.49329108794089,0.111938650969609,SMD,,Plots,38.87,1.03,29.11,1.26,40,15,1,1,1,1,40,15,,,,,lumped,Abundance with/without cats,2,-1.49329108794089,0.111938650969609,SMD,Rodentia,65,Mammals,1.81291335664286,non_volant,other,other,inside,inside,inside,mainland
ES_13,Bettongia lesueur,Abundance Temporal correlation,Temporal correlation,Plots,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",,Correlation,Abundance,Tracking,Tracking,Figure 2,,-30.29,136.53,"Roxby Downs, South Australia",0.860092557805738,45,1.29370022547289,0.0238095238095238,Zr,,,,,,,,,,,,,,,,,,,fine_scale,Abundance temporal association,1,1.29370022547289,0.0238095238095238,Zr,Diprotodontia,1500,Mammals,3.17609125905568,non_volant,other,other,inside,inside,inside,mainland
ES_14,Macrotis lagotis,Abundance Temporal correlation,Temporal correlation,Plots,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",,Correlation,Abundance,Tracking,Tracking,Figure 2,,-30.29,136.53,"Roxby Downs, South Australia",0.656990399477445,25,0.787499893427806,0.0454545454545455,Zr,,,,,,,,,,,,,,,,,,,fine_scale,Abundance temporal association,1,0.787499893427806,0.0454545454545455,Zr,Peramelemorphia,1350,Mammals,3.13033376849501,non_volant,other,other,inside,inside,inside,mainland
ES_15,Dasyurus geoffroii,Abundance Temporal correlation,Temporal correlation,Plots,"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",,Correlation,Abundance,Trapping,Tracking,Figure 2,,-34.37,116.28,Upper Warren,-0.695163344606937,8,-0.857879153306683,0.2,Zr,,,,,,,,,,,,,,,,,,,fine_scale,Abundance temporal association,1,-0.857879153306683,0.2,Zr,Dasyuromorphia,1100,Mammals,3.04139268515823,non_volant,other,other,inside,inside,inside,mainland
ES_16,Bettongia penicillata,Abundance Temporal correlation,Temporal correlation,Plots,"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",,Correlation,Abundance,Trapping,Tracking,Figure 2,,-34.37,116.28,Upper Warren,0.498856403442563,7,0.547782509360027,0.25,Zr,,,,,,,,,,,,,,,,,,,fine_scale,Abundance temporal association,1,0.547782509360027,0.25,Zr,Diprotodontia,1300,Mammals,3.11394335230684,non_volant,other,other,inside,inside,inside,mainland
