scientificName,spp_name_corrected,Article_simple,study_id,Study_location,Study_lat,Study_long,Evidence_category,Evidence_effect,Evidence_method,Hypothesis_supported,has_data,of_quality,evidence_type,exclude_species,Mass_g_final,Order_final,source,class
Amazona barbadensis,Amazona barbadensis,"A. Rodríguez-Ferraro, V. Sanz, Natural history and population status of the yellow-shouldered parrot on La Blanquilla Island, Venezuela. The Wilson Journal of Ornithology. 119, 602–609 (2007).",351,"La Blanquilla Island, Venezuela",11.8452,-64.6096,Predation,Predation,Predation,1,no,no,Predation in support,included_species,270,Psittaciformes,Avonet,Birds
Amblyrhynchus cristatus,Amblyrhynchus cristatus,"Laurie A (1983) Marine iguanas in Galápagos. Oryx, 17, 19-25.",439,Galápagos National Park,-0.61439999999999995,-90.345100000000002,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Ameiva provitaae,Ameiva provitaae,IUCN,208,"Bolsón Arido de Lagunillas, Cordillera de Mérida",8.6667000000000005,-71,Predation,Predation,Domestic cat,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Amytornis dorotheae,Amytornis dorotheae,"Threatened Species Scientific Committee. 2016. Conservation Advice for Amytornis dorotheae Carpentarian grasswren. Department of the Environment, Canberra.",364,Mount Isa,-20.726400000000002,139.49299999999999,Predation,Predation,Predation,0,no,no,Predation not in support,included_species,23.22,Passeriformes,Avonet,Birds
Anairetes fernandezianus,Anairetes fernandezianus,"Hahn, I., Römer, U. 2002. Threatened avifauna of the Juan Fernández archipelago, Chile: the impact of introduced mammals and conservation priorities. Cotinga 17: 66-72.",495,Robinson Crusoe,-33.641399999999997,-78.846100000000007,Predation,Predation,Predation,1,no,no,Predation in support,included_species,6.85,Passeriformes,Avonet,Birds
Anas chlorotis,Anas chlorotis,"Barker D, Williams M 2002. Breeding of brown teal (Anas chlorotis) at Okiwi, Great Barrier Island. Notornis 49: 199–208.",469,Great Barrier Island,-36.2027,175.4118,Predation,Predation,Predation,0,no,no,Predation not in support,included_species,499.09,Anseriformes,Avonet,Birds
Anas chlorotis,Anas chlorotis,"Hayes FN, Williams M 1982. The status, aviculture and re-establishment of brown teal in New Zealand. Wildfowl 33: 73–80.",468,Stewart Island,-47.010300000000001,167.8272,Population,Abundance,Timing,1,no,no,Population in support,included_species,499.09,Anseriformes,Avonet,Birds
Anas chlorotis,Anas chlorotis,"M. Alley, B. D. Gartrell, K. J. Morgan, Predation and other causes of death in pateke (brown teal), Anas chlorotis, necropsied during 2000 - 2005. Kokako. 14, 19–24 (2007).",467,New Zealand,-40.900599999999997,174.886,Predation,Predation,Predation,1,no,no,Predation in support,included_species,499.09,Anseriformes,Avonet,Birds
Anas wyvilliana,Anas wyvilliana,"Malachowski, C.P., Dugger, B.D., Uyehara, K.J. and Reynolds, M.H., 2022. Avian botulism is a primary, year-round threat to adult survival in the endangered Hawaiian Duck on Kaua ‘i, Hawai ‘i, USA. Ornithological Applications, 124(2), p.duac007.",483,Kaua‘i,22.096399999999999,-159.52610000000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,843.42,Anseriformes,Avonet,Birds
Antechinus bellus,Antechinus bellus,"Stobo-Wilson, A.M., Stokeld, D., Einoder, L.D., Davies, H.F., Fisher, A., Hill, B.M., Mahney, T., Murphy, B.P., Scroggie, M.P., Stevens, A. and Woinarski, J.C.Z., 2020. Bottom-up and top-down processes influence contemporary patterns of mammal species richness in Australia's monsoonal tropics. Biological Conservation, 247, p.108638.",35,"Northern Northern Territory and Melville, Bathurst and Groote Eylandt Islands",-12.46,130.84,Population,Abundance,Spatial,1,yes,no,Population in support,included_species,44.5,Dasyuromorphia,Phylacine 1.2,Mammals
Antillotyphlops monastus,Antillotyphlops monastus,IUCN,234,Montserrat,16.7425,-62.187399999999997,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Apteryx australis,Apteryx australis,"Gillies, C.A., Leach, M.R., Coad, N.B., Theobald, S.W., Campbell, J., Herbert, T., Graham, P.J. and Pierce, R.J., 2003. Six years of intensive pest mammal control at Trounson Kauri Park, a Department of Conservation “mainland island”, June 1996—July 2002. New Zealand Journal of Zoology, 30(4), pp.399-420.",373,Trounson Kauri Park,-35.7199752,173.64937610000001,Population,Reproduction,Temporal,1,yes,no,Population in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx australis,Apteryx australis,"Gillies, C.A., Leach, M.R., Coad, N.B., Theobald, S.W., Campbell, J., Herbert, T., Graham, P.J. and Pierce, R.J., 2003. Six years of intensive pest mammal control at Trounson Kauri Park, a Department of Conservation “mainland island”, June 1996—July 2002. New Zealand Journal of Zoology, 30(4), pp.399-420.",374,Trounson Kauri Park,-35.7199752,173.64937610000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx australis,Apteryx australis,"Harper, G.A. 2005. Numerical and functional response of feral cats (Felis catus) to variations in abundance of primary prey on Stewart Island (Rakiura), New Zealand. Wildlife Research 32: 597–604.",372,Stewart Island,-47.010300000000001,167.8272,Predation,Predation,Predation,0,no,no,Predation not in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx australis,Apteryx australis,"Karl, B.J. and Best, H.A., 1982. Feral cats on Stewart Island: their foods, and their effects on kakapo. New Zealand Journal of Zoology, 9(2), pp.287-293.",371,Stewart Island,-47.010300000000001,167.8272,Predation,Predation,Predation,0,no,no,Predation not in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx australis,Apteryx australis,"McLennan, J.A., Dew, L., Miles, J., Gillingham, N. and Waiwai, R., 2004. Size matters: predation risk and juvenile growth in North Island brown kiwi (Apteryx mantelli). New Zealand Journal of Ecology, pp.241-250.",369,Te Urewera National Park,-38.542900000000003,177.0309,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx australis,Apteryx australis,"McLennan, J.A., Potter, M.A., Robertson, H.A., Wake, G.C., Colbourne, R., Dew, L., Joyce, L., McCann, A.J., Miles, J., Miller, P.J. and Reid, J., 1996. Role of predation in the decline of kiwi, Apteryx spp., in New Zealand. New Zealand Journal of Ecology, pp.27-35.",368,"Hawke's Bay, New Zealand",-39.601700000000001,176.5804,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx australis,Apteryx australis,"Robertson, H.A. and Colbourne, R.M., 2022. Habitat loss drives population decline and reduced mass of Rakiura tokoeka (Apteryx australis australis, Stewart Island brown kiwi,) at Mason Bay, Stewart Island/Rakiura. Notornis, 69(3), pp.147-157.",370,Stewart Island,-47.010300000000001,167.8272,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx mantelli,Apteryx mantelli,"McLennan, J.A., Dew, L., Miles, J., Gillingham, N. and Waiwai, R., 2004. Size matters: predation risk and juvenile growth in North Island brown kiwi (Apteryx mantelli). New Zealand Journal of Ecology, pp.241-250.",244,"Lake Waikaremoana, Te Urewera National Park",-38.774500000000003,177.11240000000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx mantelli,Apteryx mantelli,"Robertson, H.A., Colbourne, R.M., Graham, P.J., Miller, P.J. and Pierce, R.J., 2011. Experimental management of brown kiwi Apteryx mantelli in central Northland, New Zealand. Bird Conservation International, 21(2), pp.207-220.",243,Northland,-35.413600000000002,173.93209999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Atelopus guanujo,Atelopus guanujo,IUCN,218,"Bolívar, Ecuador",-1.7096,-79.045000000000002,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Anura,,Amphibians
Bettongia anhydra,Bettongia anhydra,"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",211,"McEwin Hills, Northern Territory",-22.0167,129.75,Population,Abundance,Timing,1,yes,no,Population in support,included_species,1582.3,Diprotodontia,Phylacine 1.2,Mammals
Bettongia gaimardi,Bettongia gaimardi,"Evans, M.J., Batson, W.G., Gordon, I.J., Belton, E., Chaseling, T., Fletcher, D., Harrison, M., McElroy, T., Mungoven, A., Newport, J. and Pierson, J., 2021. The ‘Goldilocks Zone’of predation: the level of fox control needed to select predator resistance in a reintroduced mammal in Australia. Biodiversity and Conservation, 30, pp.1731-1752.",93,"Lower Cotter Catchment,  Australian Capital Territory",-35.28,148.9,Predation,Predation,Reintroduced,0,no,no,Predation not in support,included_species,1660,Diprotodontia,Phylacine 1.2,Mammals
