cited_by_id,from_key,article_id,to_key,edge_type,scientificName,encounter_method,source_year,article_year
(IUCN 2025) core source_claim,(IUCN 2025) core source | Cryptoblepharus egeriae,(Andrew et al. 2018)_EXCLUDE_1_Opinion claim_NA_NA,(Andrew et al. 2018) | Cryptoblepharus egeriae,citation,Cryptoblepharus egeriae,core_sources,2016,2018
(IUCN 2025) core source_claim,(IUCN 2025) core source | Lepidodactylus listeri,(Andrew et al. 2018)_EXCLUDE_1_Opinion claim_NA_NA,(Andrew et al. 2018) | Lepidodactylus listeri,citation,Lepidodactylus listeri,core_sources,2016,2018
(Medina et al. 2011) core source_claim,(Medina et al. 2011) core source | Puffinus mauretanicus,(Arcos 2011)_EXCLUDE_0_Inaccessible_NA_NA,(Arcos 2011) | Puffinus mauretanicus,citation,Puffinus mauretanicus,core_sources,2009,2011
(IUCN 2025) core source_claim,(IUCN 2025) core source | Setonix brachyurus,(Bain et al. 2015)_INCLUDE_NA_Population not in support_yes_yes,(Bain et al. 2015) | Setonix brachyurus,citation,Setonix brachyurus,core_sources,2011,2015
(IUCN 2025) core source_claim,(IUCN 2025) core source | Setonix brachyurus,(Bain et al. 2020)_EXCLUDE_1_Opinion claim_NA_NA,(Bain et al. 2020) | Setonix brachyurus,citation,Setonix brachyurus,core_sources,2011,2020
(IUCN 2025) core source_claim,(IUCN 2025) core source | Setonix brachyurus,(Bain et al. 2023)_EXCLUDE_1_No claim_NA_NA,(Bain et al. 2023) | Setonix brachyurus,citation,Setonix brachyurus,core_sources,2011,2023
(Banko et al. 2002b)_EXCLUDE_1_Opinion claim_NA_NA,(Banko et al. 2002b) | Loxioides bailleui,(Banko et al. 2020)_EXCLUDE_0_Inaccessible_NA_NA,(Banko et al. 2020) | Loxioides bailleui,citation,Loxioides bailleui,snowball,2002,2020
(IUCN 2025) core source_claim,(IUCN 2025) core source | Amerotyphlops tasymicris,(Bentz et al. 2011)_EXCLUDE_1_Opinion claim_NA_NA,(Bentz et al. 2011) | Amerotyphlops tasymicris,citation,Amerotyphlops tasymicris,core_sources,2010,2011
(IUCN 2025) core source_claim,(IUCN 2025) core source | Sphaerodactylus kirbyi,(Bentz et al. 2011)_EXCLUDE_1_Opinion claim_NA_NA,(Bentz et al. 2011) | Sphaerodactylus kirbyi,citation,Sphaerodactylus kirbyi,core_sources,2010,2011
(Guo et al. 2020)_EXCLUDE_1_Opinion claim_NA_NA,(Guo et al. 2020) | Eurostopodus nigripennis,(BirdLife International 2023)_EXCLUDE_0_Opinion claim_NA_NA,(BirdLife International 2023) | Eurostopodus nigripennis,citation,Eurostopodus nigripennis,snowball,2020,2023
(IUCN 2025) core source_claim,(IUCN 2025) core source | Ctenotus serotinus,(Chapple et al. 2024)_EXCLUDE_0_No claim_NA_NA,(Chapple et al. 2024) | Ctenotus serotinus,citation,Ctenotus serotinus,core_sources,2016,2024
(Dickman 1996b) core source_claim,(Dickman 1996b) core source | Bettongia lesueur,(Christensen & Burrows 1995)_INCLUDE_NA_Predation in support_no_no,(Christensen & Burrows 1995) | Bettongia lesueur,citation,Bettongia lesueur,core_sources,1994,1995
(Dickman 1996b) core source_claim,(Dickman 1996b) core source | Isoodon auratus,(Christensen & Burrows 1995)_INCLUDE_NA_Predation not in support_no_no,(Christensen & Burrows 1995) | Isoodon auratus,citation,Isoodon auratus,core_sources,1994,1995
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Didunculus strigirostris,(Collar 2015)_EXCLUDE_1_Opinion claim_NA_NA,(Collar 2015) | Didunculus strigirostris,citation,Didunculus strigirostris,core_sources,2014,2015
(Radford et al. 2018) core source_claim,(Radford et al. 2018) core source | Conilurus penicillatus,(Davies et al. 2017)_INCLUDE_NA_Population in support_yes_no,(Davies et al. 2017) | Conilurus penicillatus,citation,Conilurus penicillatus,core_sources,2016,2017
(IUCN 2025) core source_claim,(IUCN 2025) core source | Sternula nereis,(Dunlop 2018)_EXCLUDE_0_Opinion claim_NA_NA,(Dunlop 2018) | Sternula nereis,citation,Sternula nereis,core_sources,2017,2018
(IUCN 2025) core source_claim,(IUCN 2025) core source | Mimus melanotis,(Dvorak et al. 2020)_EXCLUDE_1_No claim_NA_NA,(Dvorak et al. 2020) | Mimus melanotis,citation,Mimus melanotis,core_sources,2019,2020
(IUCN 2025) core source_claim,(IUCN 2025) core source | Liopholis guthega,(Environment 2025)_EXCLUDE_0_Opinion claim_NA_NA,(Environment 2025) | Liopholis guthega,citation,Liopholis guthega,core_sources,2016,2025
(IUCN 2025) core source_claim,(IUCN 2025) core source | Eliomys quercinus,(Famira-Parcsetich et al. 2024)_INCLUDE_NA_Predation in support_no_no,(Famira-Parcsetich et al. 2024) | Eliomys quercinus,citation,Eliomys quercinus,core_sources,2022,2024
(IUCN 2025) core source_claim,(IUCN 2025) core source | Salanoia concolor,(Farris et al. 2015b)_EXCLUDE_0_Inaccessible_NA_NA,(Farris et al. 2015b) | Salanoia concolor,citation,Salanoia concolor,core_sources,2014,2015
(IUCN 2025) core source_claim,(IUCN 2025) core source | Eupleres goudotii,(Farris et al. 2016)_EXCLUDE_0_Inaccessible_NA_NA,(Farris et al. 2016) | Eupleres goudotii,citation,Eupleres goudotii,core_sources,2014,2016
(IUCN 2025) core source_claim,(IUCN 2025) core source | Brachylophus gau,(Fisher et al. 2019)_EXCLUDE_0_No claim_NA_NA,(Fisher et al. 2019) | Brachylophus gau,citation,Brachylophus gau,core_sources,2018,2019
(Wallach & Lundgren 2025)_external review without claim,(Wallach & Lundgren 2025) | Macrotis lagotis,(Geyle et al. 2024)_INCLUDE_NA_Population not in support_yes_no,(Geyle et al. 2024) | Macrotis lagotis,citation,Macrotis lagotis,core_sources,2022,2024
(Glen et al. 2009)_EXCLUDE_1_No claim_NA_NA,(Glen et al. 2009) | Dasyurus geoffroii,(Glen et al. 2010)_INCLUDE_NA_Predation in support_no_no,(Glen et al. 2010) | Dasyurus geoffroii,citation,Dasyurus geoffroii,snowball,2009,2010
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Notomys fuscus,(Gordon et al. 2015)_INCLUDE_NA_Population not in support_yes_yes,(Gordon et al. 2015) | Notomys fuscus,citation,Notomys fuscus,core_sources,2014,2015
(IUCN 2025) core source_claim,(IUCN 2025) core source | Lanius ludovicianus,(Gustafson 2020)_EXCLUDE_0_Opinion claim_NA_NA,(Gustafson 2020) | Lanius ludovicianus,citation,Lanius ludovicianus,core_sources,2019,2020
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Acrocephalus aequinoctialis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Acrocephalus aequinoctialis,citation,Acrocephalus aequinoctialis,core_sources,2014,2018
