key,scientificName,node_name,evidence_type,evidence_inclusion,Source_that_provides_primary_evidence,Evidence_category,Evidence_effect,Evidence_method,Hypothesis_supported,has_data,of_quality
Setonix brachyurus (Bain et al. 2015),Setonix brachyurus,(Bain et al. 2015),Population not in support,INCLUDE,0,Population,Abundance,Spatial,0,yes,yes
Setonix brachyurus (Bain et al. 2015),Setonix brachyurus,(Bain et al. 2015),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Diomedea exulans (Barbraud et al. 2021),Diomedea exulans,(Barbraud et al. 2021),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Diomedea exulans (Barbraud et al. 2021),Diomedea exulans,(Barbraud et al. 2021),Control program in support,INCLUDE,0,Control program,Reproduction,Temporal,1,no,no
Diomedea exulans (Blanchard et al. 2024),Diomedea exulans,(Blanchard et al. 2024),Population in support,INCLUDE,0,Population,Reproduction,Spatial,1,yes,yes
Diomedea exulans (Blanchard et al. 2024),Diomedea exulans,(Blanchard et al. 2024),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Traversia lyalli (Buller & Keulemans 1905),Traversia lyalli,(Buller & Keulemans 1905),Predation in support,INCLUDE,0,Predation,Predation,Domestic cat,1,no,no
Traversia lyalli (Buller & Keulemans 1905),Traversia lyalli,(Buller & Keulemans 1905),Population in support,INCLUDE,0,Population,Abundance,Timing,1,no,no
Charadrius sanctaehelenae (Burns et al. 2013),Charadrius sanctaehelenae,(Burns et al. 2013),Population in support,INCLUDE,0,Population,Reproduction,Spatial,1,yes,yes
Charadrius sanctaehelenae (Burns et al. 2013),Charadrius sanctaehelenae,(Burns et al. 2013),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Dasycercus cristicauda (Doherty et al. 2015),Dasycercus cristicauda,(Doherty et al. 2015),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Dasycercus cristicauda (Doherty et al. 2015),Dasycercus cristicauda,(Doherty et al. 2015),Population in support,INCLUDE,0,Population,Abundance,Temporal,1,yes,no
Sminthopsis douglasi (Doherty et al. 2015),Sminthopsis douglasi,(Doherty et al. 2015),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Sminthopsis douglasi (Doherty et al. 2015),Sminthopsis douglasi,(Doherty et al. 2015),Predation not in support,INCLUDE,0,Predation,Predation,Preference,0,no,no
Coenocorypha aucklandica (Dowding & Murphy 2001),Coenocorypha aucklandica,(Dowding & Murphy 2001),Population in support,INCLUDE,0,Population,Abundance,Timing,1,no,no
Coenocorypha aucklandica (Dowding & Murphy 2001),Coenocorypha aucklandica,(Dowding & Murphy 2001),Population not in support,INCLUDE,0,Population,Abundance,Timing,0,no,no
Traversia lyalli (Galbreath & Brown 2004),Traversia lyalli,(Galbreath & Brown 2004),Predation in support,INCLUDE,0,Predation,Predation,Domestic cat,1,no,no
Traversia lyalli (Galbreath & Brown 2004),Traversia lyalli,(Galbreath & Brown 2004),Population in support,INCLUDE,0,Population,Abundance,Timing,1,no,no
Pezoporus occidentalis (Garnett et al. 2011) core source,Pezoporus occidentalis,(Garnett et al. 2011) core source,Population in support,INCLUDE,1,Population,Abundance,Timing,1,no,no
Pezoporus occidentalis (Garnett et al. 2011) core source,Pezoporus occidentalis,(Garnett et al. 2011) core source,Predation in support,INCLUDE,1,Predation,Predation,Domestic cat,1,no,no
Apteryx australis (Gillies et al. 2003),Apteryx australis,(Gillies et al. 2003),Population in support,INCLUDE,0,Population,Reproduction,Temporal,1,yes,no
Apteryx australis (Gillies et al. 2003),Apteryx australis,(Gillies et al. 2003),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Pterodroma sandwichensis (Hodges & Nagata Sr 2001),Pterodroma sandwichensis,(Hodges & Nagata Sr 2001),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Pterodroma sandwichensis (Hodges & Nagata Sr 2001),Pterodroma sandwichensis,(Hodges & Nagata Sr 2001),Population in support,INCLUDE,0,Population,Reproduction,Temporal,1,yes,yes
Traversia lyalli (Hume 2017) core source,Traversia lyalli,(Hume 2017) core source,Predation in support,INCLUDE,1,Predation,Predation,Domestic cat,1,no,no
Traversia lyalli (Hume 2017) core source,Traversia lyalli,(Hume 2017) core source,Population in support,INCLUDE,1,Population,Abundance,Timing,1,no,no
Brachylophus vitiensis (IUCN 2025) core source,Brachylophus vitiensis,(IUCN 2025) core source,Predation in support,INCLUDE,1,Predation,Predation,Predation,1,no,no
Brachylophus vitiensis (IUCN 2025) core source,Brachylophus vitiensis,(IUCN 2025) core source,Population in support,INCLUDE,1,Population,Abundance,Timing,1,no,no
Pentalagus furnessi (IUCN 2025) core source,Pentalagus furnessi,(IUCN 2025) core source,Predation in support,INCLUDE,1,Predation,Predation,Predation,1,no,no
