class,scientificName,Evidence_category,no,yes,total,percent_not_in_support
Amphibians,Atelopus guanujo,Predation without data,0,1,1,0
Amphibians,Litoria raniformis,Predation without data,0,1,1,0
Amphibians,Raorchestes primarrumpfi,Predation without data,0,1,1,0
Amphibians,Raorchestes tinniens,Predation without data,0,1,1,0
Birds,Amazona barbadensis,Predation without data,0,1,1,0
Birds,Amytornis dorotheae,Predation without data,1,0,1,100
Birds,Anairetes fernandezianus,Predation without data,0,1,1,0
Birds,Anas chlorotis,Population without data,0,1,1,0
Birds,Anas chlorotis,Predation without data,1,1,2,50
Birds,Anas wyvilliana,Predation without data,0,1,1,0
Birds,Apteryx australis,Population with data,0,1,1,0
Birds,Apteryx australis,Predation without data,2,4,6,33.3333333333333
Birds,Apteryx mantelli,Predation without data,0,2,2,0
Birds,Botaurus poiciloptilus,Predation without data,0,1,1,0
Birds,Branta sandvicensis,Predation without data,0,3,3,0
Birds,Calonectris leucomelas,Predation without data,0,4,4,0
Birds,Charadrius bicinctus,Population with data,1,0,1,100
Birds,Charadrius bicinctus,Predation without data,0,2,2,0
Birds,Charadrius obscurus,Predation without data,1,1,2,50
Birds,Charadrius sanctaehelenae,Population with data of quality,1,1,2,50
Birds,Charadrius sanctaehelenae,Predation without data,0,2,2,0
Birds,Chasiempis ibidis,Predation without data,1,0,1,100
Birds,Chasiempis sandwichensis,Predation without data,0,1,1,0
Birds,Chlidonias albostriatus,Predation without data,0,5,5,0
Birds,Coenocorypha aucklandica,Population with data,3,0,3,100
Birds,Coenocorypha aucklandica,Population without data,1,1,2,50
Birds,Coenocorypha barrierensis,Population without data,2,0,2,100
Birds,Coenocorypha pusilla,Population with data,0,2,2,0
Birds,Columba junoniae,Predation without data,0,1,1,0
Birds,Corvus hawaiiensis,Predation without data,0,1,1,0
Birds,Corvus kubaryi,Predation without data,0,1,1,0
Birds,Cyanoramphus auriceps,Predation without data,0,1,1,0
Birds,Diomedea amsterdamensis,Predation without data,1,0,1,100
Birds,Diomedea exulans,Population with data of quality,0,1,1,0
Birds,Diomedea exulans,Population without data,0,1,1,0
Birds,Diomedea exulans,Predation without data,0,2,2,0
Birds,Elanus scriptus,Population with data,1,0,1,100
Birds,Falco punctatus,Predation without data,0,1,1,0
Birds,Fringilla teydea,Predation without data,0,1,1,0
Birds,Geokichla guttata,Predation without data,0,1,1,0
Birds,Gymnomyza samoensis,Predation without data,1,0,1,100
Birds,Haematopus chathamensis,Predation without data,0,1,1,0
Birds,Himantopus novaezelandiae,Predation without data,0,2,2,0
Birds,Hydrobates leucorhous,Predation without data,0,1,1,0
Birds,Hydrobates macrodactylus,Predation without data,0,1,1,0
Birds,Hymenolaimus malacorhynchos,Predation without data,0,1,1,0
Birds,Hypotaenidia sylvestris,Predation without data,1,0,1,100
Birds,Lanius ludovicianus,Population with data,1,0,1,100
Birds,Leipoa ocellata,Predation without data,0,4,4,0
Birds,Lophotibis cristata,Population with data of quality,0,1,1,0
Birds,Loxioides bailleui,Predation without data,2,6,8,25
Birds,Megadyptes antipodes,Population with data,0,2,2,0
Birds,Megadyptes antipodes,Predation without data,3,1,4,75
Birds,Megapodius laperouse,Predation without data,0,1,1,0
Birds,Megapodius nicobariensis,Predation without data,0,1,1,0
Birds,Microgoura meeki,Predation without data,0,2,2,0
Birds,Mimus graysoni,Population with data,1,0,1,100
Birds,Mimus graysoni,Predation without data,2,1,3,66.6666666666667
Birds,Mimus melanotis,Predation without data,1,0,1,100
Birds,Mimus trifasciatus,Predation without data,1,0,1,100
Birds,Mundia elpenor,Population with data,1,0,1,100
Birds,Myadestes obscurus,Predation without data,0,1,1,0
Birds,Nesoenas duboisi,Population with data,0,1,1,0
Birds,Nesofregetta fuliginosa,Population with data,1,0,1,100
Birds,Numenius tahitiensis,Population with data,0,1,1,0
Birds,Numenius tahitiensis,Population with data of quality,0,1,1,0
Birds,Numenius tahitiensis,Predation without data,0,1,1,0
Birds,Pampusana erythroptera,Population with data of quality,0,1,1,0
Birds,Passer italiae,Predation without data,0,1,1,0
Birds,Petroica multicolor,Predation without data,0,1,1,0
Birds,Pezophaps solitaria,Population with data,0,1,1,0
Birds,Pezoporus occidentalis,Population without data,0,1,1,0
Birds,Pezoporus occidentalis,Predation without data,1,1,2,50
Birds,Pipilo socorroensis,Predation without data,1,0,1,100
Birds,Procellaria aequinoctialis,Population with data,1,2,3,33.3333333333333
Birds,Procellaria aequinoctialis,Population with data of quality,0,1,1,0
Birds,Procellaria aequinoctialis,Predation without data,1,3,4,25
Birds,Procellaria cinerea,Population with data,1,0,1,100
Birds,Procellaria cinerea,Population without data,1,0,1,100
Birds,Procellaria parkinsoni,Predation without data,0,2,2,0
Birds,Procellaria westlandica,Predation without data,0,1,1,0
Birds,Prosobonia cancellata,Population with data of quality,0,2,2,0
Birds,Pseudobulweria rostrata,Predation without data,0,1,1,0
Birds,Psittirostra psittacea,Predation without data,0,1,1,0
Birds,Pterodroma baraui,Predation without data,0,1,1,0
Birds,Pterodroma brevipes,Predation without data,1,1,2,50
Birds,Pterodroma cookii,Population with data,1,0,1,100
Birds,Pterodroma cookii,Predation without data,0,2,2,0
Birds,Pterodroma externa,Predation without data,0,1,1,0
Birds,Pterodroma feae,Predation without data,1,3,4,25
Birds,Pterodroma leucoptera,Predation without data,0,2,2,0
Birds,Pterodroma longirostris,Predation without data,0,1,1,0
Birds,Pterodroma madeira,Predation without data,0,2,2,0
Birds,Pterodroma phaeopygia,Predation without data,1,1,2,50
Birds,Pterodroma rupinarum,Population with data,1,0,1,100
Birds,Pterodroma sandwichensis,Population with data of quality,0,1,1,0
Birds,Pterodroma sandwichensis,Predation without data,0,5,5,0
Birds,Ptychoramphus aleuticus,Population without data,0,1,1,0
Birds,Ptychoramphus aleuticus,Predation without data,0,2,2,0
Birds,Puffinus auricularis,Predation without data,0,3,3,0
Birds,Puffinus mauretanicus,Predation without data,0,1,1,0
Birds,Puffinus newelli,Predation without data,0,3,3,0
Birds,Puffinus opisthomelas,Predation without data,0,2,2,0
Birds,Puffinus yelkouan,Population with data,0,1,1,0
Birds,Puffinus yelkouan,Population with data of quality,1,0,1,100
Birds,Puffinus yelkouan,Predation without data,0,5,5,0
Birds,Pyrrhula murina,Predation without data,0,1,1,0
Birds,Rhynochetos jubatus,Predation without data,1,1,2,50
Birds,Sephanoides fernandensis,Predation without data,0,2,2,0
Birds,Spheniscus demersus,Predation without data,0,3,3,0
Birds,Spheniscus mendiculus,Predation without data,0,1,1,0
Birds,Sternula nereis,Predation without data,0,1,1,0
Birds,Strigops habroptilus,Predation without data,0,4,4,0
Birds,Synthliboramphus craveri,Predation without data,1,0,1,100
Birds,Synthliboramphus hypoleucus,Predation without data,0,3,3,0
Birds,Synthliboramphus scrippsi,Predation without data,1,0,1,100
Birds,Thinornis cucullatus,Predation without data,0,1,1,0
Birds,Traversia lyalli,Population without data,0,1,1,0
Birds,Traversia lyalli,Predation without data,0,1,1,0
Birds,Turnix olivii,Predation without data,1,0,1,100
Birds,Vini peruviana,Population with data of quality,1,0,1,100
Birds,Zenaida graysoni,Population with data,1,0,1,100
Mammals,Antechinus bellus,Population with data,0,1,1,0
Mammals,Bettongia anhydra,Population with data,0,1,1,0
Mammals,Bettongia gaimardi,Population with data,0,2,2,0
Mammals,Bettongia gaimardi,Population with data of quality,1,0,1,100
Mammals,Bettongia gaimardi,Predation without data,1,0,1,100
Mammals,Bettongia lesueur,Population with data,0,2,2,0
Mammals,Bettongia lesueur,Predation without data,1,5,6,16.6666666666667
Mammals,Bettongia penicillata,Population with data,1,1,2,50
Mammals,Bettongia penicillata,Predation without data,0,10,10,0
Mammals,Bettongia tropica,Population with data,0,1,1,0
Mammals,Bettongia tropica,Population with data of quality,1,0,1,100
Mammals,Burramys parvus,Predation without data,0,1,1,0
Mammals,Caloprymnus campestris,Population with data,0,1,1,0
Mammals,Chaeropus ecaudatus,Population with data,0,1,1,0
Mammals,Chalinolobus neocaledonicus,Predation without data,0,1,1,0
Mammals,Chalinolobus tuberculatus,Predation without data,0,4,4,0
Mammals,Conilurus albipes,Population with data,1,0,1,100
Mammals,Conilurus penicillatus,Population with data,0,1,1,0
Mammals,Conilurus penicillatus,Population with data of quality,0,3,3,0
Mammals,Dasycercus cristicauda,Population with data,1,2,3,33.3333333333333
Mammals,Dasycercus cristicauda,Predation without data,0,4,4,0
Mammals,Dasyurus geoffroii,Population with data,2,1,3,66.6666666666667
Mammals,Dasyurus geoffroii,Predation without data,0,4,4,0
Mammals,Dasyurus hallucatus,Population with data,1,0,1,100
Mammals,Dasyurus hallucatus,Population with data of quality,2,1,3,66.6666666666667
Mammals,Dasyurus hallucatus,Predation without data,0,6,6,0
Mammals,Dasyurus spartacus,Predation without data,0,1,1,0
Mammals,Dasyurus viverrinus,Population with data,0,1,1,0
Mammals,Dasyurus viverrinus,Population with data of quality,1,1,2,50
Mammals,Dasyurus viverrinus,Predation without data,3,1,4,75
