scientificName,value,pub_year,Note
Mimus graysoni,(Jehl & Parkes 1983),1983,
Mimus graysoni,(Jehl & Parkes 1982),1982,
Dierogekko poumensis,(Whitaker et al. 2004),2004,
Dierogekko nehoueensis,(Whitaker Consultants Limited 2002),2002,
Dierogekko inexpectatus,(Whitaker et al. 2004),2004,
Dierogekko nehoueensis,(Whitaker et al. 2004),2004,
Diomedea epomophora,(Taylor 2000),2000,
Cyclura carinata,(Iverson 1978),1978,
Cyclura collei,NOTHING,"",
Cyclura cornuta,NOTHING,"",
Cyclura lewisi,NOTHING,"",
Cyclura pinguis,NOTHING,"",
Cyclura ricordii,NOTHING,"",
Iguana delicatissima,NOTHING,"",
Megadyptes antipodes,(Darby et al. 1990),1990,
Megadyptes antipodes,(Fechney et al. 1993),1993,
Megadyptes antipodes,(Moller et al. 1995),1995,
Megadyptes antipodes,(Ratz et al. 1992),1992,
Loxioides bailleui,(Pletschet & Kelly 1990),1990,
Puffinus opisthomelas,(McChesney & Tershy 1998),1998,
Puffinus mauretanicus,(Ruiz & Martí 2004),2004,
Urosaurus auriculatus,(Arnaud et al. 1993),1993,
Procellaria parkinsoni,(Imber 1975),1975,
Lagostrophus fasciatus,(Hardman et al. 2016),2016,
Setonix brachyurus,(Christensen & Kimber 1975),1975,
Setonix brachyurus,(Hayward et al. 2004),2004,
Setonix brachyurus,(Hayward et al. 2003),2003,
Setonix brachyurus,(Bain 2015),2015,
Loxioides bailleui,(Pratt et al. 1997),1997,
Branta sandvicensis,(Hoshide et al. 1990),1990,
Branta sandvicensis,(Kear & Berger 1980),1980,
Loxioides bailleui,(Banko et al. 2009),2009,
Loxioides bailleui,(Hess et al. 2004),2004,
Loxioides bailleui,(Banko et al. 2002b),2002,
Chasiempis sandwichensis,(Sarr et al. 1998),1998,
Anas chlorotis,(Barker 1998),1998,
Anas chlorotis,(Barker 1999),1999,
Anas chlorotis,(Williams 2001),2001,
Thinornis novaeseelandiae,(Fleming 1939),1939,
Procellaria aequinoctialis,(Van Aarde 1981),1981,
Procellaria aequinoctialis,(Van Rensburg 1985),1985,
Thalassarche steadi,(Croxall & Gales 1998),1998,
Thalassarche steadi,(Taylor 2000),2000,
Thalassarche steadi,(Thompson et al. 2007),2007,
Eurostopodus nigripennis,(Guo et al. 2020),2020,
Eurostopodus nigripennis,J. Read in litt. 2016,2016,
Spheniscus mendiculus,(Barnett 1986),1986,
Spheniscus mendiculus,(Boersma 1976),1976,
Spheniscus mendiculus,(Steinfurth 2007),2007,
Spheniscus mendiculus,(Steinfurth & Merlen 2005),2005,
Sylvilagus mansuetus,(Espinosa-Gayosso & Álvarez-Castañeda 2006),2006,
Gallotia simonyi,(García Márquez et al. 1999),1999,
Diplothrix legata,(Shionosaki et al. 2015),2015,
Pentalagus furnessi,(Shionosaki et al. 2015),2015,
Chalinolobus tuberculatus,(Daniel & Williams 1984),1984,
Puffinus yelkouan,(Bonnaud et al. 2007),2007,
Puffinus yelkouan,(Tranchant et al. 2003),2003,
Diomedea exulans,(Barbraud et al. 2021),2021,
Diomedea exulans,(Barbraud et al. 2021),2021,
Diomedea exulans,(Blanchard et al. 2024),2024,
Diomedea exulans,(Blanchard et al. 2024),2024,
Pterodroma cervicalis,(Oliver 1930),1930,
Calonectris leucomelas,(Azumi et al. 2021),2021,
Procellaria aequinoctialis,(Dilley et al. 2017),2017,
Puffinus yelkouan,(Bonnaud et al. 2010b),2010,
Puffinus yelkouan,(Bonnaud et al. 2009),2009,
Pterodroma cookii,(Rayner et al. 2007),2007,
Puffinus opisthomelas,(McChesney & Tershy 1998),1998,
Synthliboramphus hypoleucus,(McChesney & Tershy 1998),1998,
Procellaria cinerea,(Newton & Fugler 1989),1989,
Calonectris leucomelas,(Oka 2019),2019,
Calonectris leucomelas,(Oka et al. 2002),2002,
Pterodroma sandwichensis,(Raine et al. 2020),2020,
Puffinus newelli,(Raine et al. 2020),2020,
Calonectris leucomelas,(Shiozaki et al. 2014),2014,
Charadrius bicinctus,(Sanders & Maloney 2002),2002,
Chlidonias albostriatus,(Sanders & Maloney 2002),2002,
Himantopus novaezelandiae,(Sanders & Maloney 2002),2002,
Procellaria aequinoctialis,(Van Rensburg 1985),1985,
Procellaria cinerea,(Newton & Fugler 1989),1989,
Antrostomus noctitherus,(Oberle 2018),2018,
Antrostomus noctitherus,(Raffaele et al. 1998),1998,
Amblyrhynchus cristatus,(Konecny 1983),1983,
Amblyrhynchus cristatus,(Laurie 1983),1983,
Didunculus strigirostris,(Becke 1908),1908,
Didunculus strigirostris,(Bennett 1862),1862,
Didunculus strigirostris,(Bennett 1863),1863,
Didunculus strigirostris,(Bennett 1864),1864,
Didunculus strigirostris,(Dorner 1872),1872,
Didunculus strigirostris,(Ramsay 1864),1864,
Didunculus strigirostris,(Whitmee 1874),1874,
Didunculus strigirostris,(Whitmee 1875),1875,
Didunculus strigirostris,(Williams 1863),1863,
Lanius ludovicianus,(Gawlik & Bildstein 1990),1990,
Lanius ludovicianus,(Gawlik & Bildstein 1990),1990,
Lanius ludovicianus,(Luukkonen 1987),1987,
Lanius ludovicianus,(Tyler 1992),1992,
Leporillus conditor,(Copley 1999a),1999,
Pseudobulweria macgillivrayi,(Watling & Lewanavanua 1985),1985,
Chalinolobus tuberculatus,(Daniel & Williams 1981),1981,
Megadyptes antipodes,(ODT 2001),2001,
Megadyptes antipodes,(Mayston 2001),2001,
Conilurus penicillatus,(Davies et al. 2017),2017,
Bettongia lesueur,(Burbidge 2001),2001,
Dasyurus geoffroii,(Burbidge 2001),2001,
Leporillus conditor,(Burbidge 2001),2001,
Parantechinus apicalis,(Burbidge 2001),2001,
Perameles bougainville,(Burbidge 2001),2001,
Pseudomys fieldi,(Burbidge 2001),2001,
Bettongia lesueur,(Burbidge & Manly 2002),2002,
Dasyurus geoffroii,(Burbidge & Manly 2002),2002,
Leporillus conditor,(Burbidge & Manly 2002),2002,
Parantechinus apicalis,(Burbidge & Manly 2002),2002,
Perameles bougainville,(Burbidge & Manly 2002),2002,
Petroica traversi,(Nilsson et al. 1994),1994,
Burramys parvus,(Mount Buller and Mount Stirling Alpine Resort Management Board 2005),2005,
Burramys parvus,(Broome & Ford 2005),2005,
Burramys parvus,(Broome 1992),1992,
Burramys parvus,(Broome et al. 2012),2012,
Burramys parvus,(Heinze et al. 2004),2004,
Burramys parvus,(Mansergh 1991),1991,
Burramys parvus,(Mansergh & Broome 1994),1994,
Burramys parvus,(Mansergh 1988),1988,
Burramys parvus,(McDougall & Broome 2007),2007,
