original,Endnote_intext_citation
"Angela Sanders, pers. comm.","Angela Sanders, pers. comm."
"Dickman, C.R., Pressey, R.L., Lim, L. and Parnaby, H.E., 1993. Mammals of particular conservation concern in the Western Division of New South Wales. Biological Conservation, 65(3), pp.219-248.",(Dickman et al. 1993a)
"Burbidge, A., 2001. Our largest island. Department of Environment and Conservation, editor. Perth, Western Australia: Landscope, 16, p.22.",(Burbidge 2001)
"Deller M, Mills HR, Hamilton N, Algar D (2015) Diet of feral cats, Felis catus, on Dirk Hartog Island. Journal of the Royal Society of Western Australia 98, 37-43",(Deller et al. 2015)
"Morris K, Cowan M, Angus J, Anderson H, Garretson S, Algar D, Moro D, Williams M (2015). The northern quoll cat bait uptake and survivorship study, Yarraloola Land Management Area, Pilbara Region WA. Department of Parks and Wildlife, 2015, Perth.",(Morris et al. 2015)
"McKenzie, N. L. (1983). Golden bandicoot lsoodon auratus. In Complete book of Australian mammals, ed. R. Strahan. Angus & Robertson, Sydney, p. 98.",(McKenzie 1984)
"Morris, K., Sims, C., Himbeck, K., Christensen, P., Sercombe, N., Ward, B., and Noakes, N. (2004). Project Eden – fauna recovery on Peron peninsula, Shark Bay: Western Shield review – February 2003. Conservation Science Western Australia 5, 202-234",(Morris et al. 2004)
"West, R., Letnic, M., Blumstein, D.T. and Moseby, K.E., 2018. Predator exposure improves anti‐predator responses in a threatened mammal. Journal of Applied Ecology, 55(1), pp.147-156.",(West et al. 2018)
"Delroy, L. B., Earl, J., Radbone, I., Robinson, A. C., and Hewett, M. (1986). The breeding and re-establishment of the brush-tailed bettong, Bettongia penicillata, in South Australia. Australian Wildlife Research 13, 387-396",(Delroy et al. 1986)
"Hohnen, R. (2015). The dynamics of a refuge: factors supporting small mammal persistence in the north Kimberley, Western Australia. PhD Thesis. University of Tasmania.",(Hohnen 2015)
"Hohnen, R., Tuft, K., Legge, S., Walters, N., Johanson, L., Carver, S., Radford, I. J., and Johnson, C. N. (2016). The significance of topographic complexity in habitat selection and persistence of a declining marsupial in the Kimberley region of Western Australia. Australian Journal of Zoology 64, 198-216.",(Hohnen et al. 2016a)
"Woinarski, J. C. Z., Legge, S., Fitzsimons, J. A., Traill, B. J., Burbidge, A. A., Fisher, A., Firth, R. S. C., Gordon, I. J., Griffiths, A. D., Johnson, C. N., McKenzie, N. L., Palmer, C., Radford, I., Rankmore, B., Ritchie, E. G., Ward, S., and Ziembicki, M. (2011). The disappearing mammal fauna of northern Australia: context, cause, and response. Conservation Letters 4, 192–201.",(Woinarski et al. 2011b)
