key,n_cited_in_original_dataset,n_articles_cited_in_network,source,scientificName
Dickman_AU_mammal;Phascogale tapoatafa,1,2,Dickman_AU_mammal,Phascogale tapoatafa
Doherty_references0_NA;Amblyrhynchus cristatus,2,1,Doherty_references0_NA,Amblyrhynchus cristatus
Doherty_references0_NA;Apteryx australis,4,5,Doherty_references0_NA,Apteryx australis
Doherty_references0_NA;Brachylophus vitiensis,3,4,Doherty_references0_NA,Brachylophus vitiensis
Doherty_references0_NA;Charadrius obscurus,4,5,Doherty_references0_NA,Charadrius obscurus
Doherty_references0_NA;Charadrius sanctaehelenae,3,4,Doherty_references0_NA,Charadrius sanctaehelenae
Doherty_references0_NA;Chelonoidis niger,2,3,Doherty_references0_NA,Chelonoidis niger
Doherty_references0_NA;Macrotis lagotis,5,6,Doherty_references0_NA,Macrotis lagotis
Doherty_references0_NA;Parantechinus apicalis,1,2,Doherty_references0_NA,Parantechinus apicalis
Doherty_references0_NA;Pentalagus furnessi,2,3,Doherty_references0_NA,Pentalagus furnessi
Doherty_references0_NA;Petroica traversi,2,3,Doherty_references0_NA,Petroica traversi
Doherty_references0_NA;Pezoporus occidentalis,1,2,Doherty_references0_NA,Pezoporus occidentalis
Doherty_references0_NA;Phascogale pirata,2,3,Doherty_references0_NA,Phascogale pirata
Doherty_references0_NA;Pseudomys australis,4,5,Doherty_references0_NA,Pseudomys australis
Doherty_references0_NA;Pterodroma cervicalis,1,2,Doherty_references0_NA,Pterodroma cervicalis
Doherty_references0_NA;Pterodroma sandwichensis,7,9,Doherty_references0_NA,Pterodroma sandwichensis
Doherty_references0_NA;Traversia lyalli,1,4,Doherty_references0_NA,Traversia lyalli
Garnett2010_AU_birds;Petroica multicolor,0,1,Garnett2010_AU_birds,Petroica multicolor
Garnett2020_AU_birds;Leipoa ocellata,0,1,Garnett2020_AU_birds,Leipoa ocellata
Garnett2020_AU_birds;Turnix olivii,1,2,Garnett2020_AU_birds,Turnix olivii
Hume_EX_birds;Microgoura meeki,0,1,Hume_EX_birds,Microgoura meeki
Hume_EX_birds;Traversia lyalli,6,7,Hume_EX_birds,Traversia lyalli
IUCN_references;Ameiva provitaae,0,1,IUCN_references,Ameiva provitaae
