Class,Order,Family,Genus,Scientific name,Redlist category,Realm,Systems
REPTILIA,SQUAMATA,SCINCIDAE,Cryptoblepharus,Cryptoblepharus egeriae,Extinct in the Wild,Indomalayan,Terrestrial
AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,Acrocephalus yamashinae,Extinct,Oceanian,Terrestrial|Freshwater (=Inland waters)
AVES,PASSERIFORMES,FRINGILLIDAE,Hemignathus,Hemignathus hanapepe,Extinct,Oceanian,Terrestrial
AVES,PASSERIFORMES,FRINGILLIDAE,Hemignathus,Hemignathus affinis,Extinct,Oceanian,Terrestrial
AVES,PASSERIFORMES,FRINGILLIDAE,Loxops,Loxops ochraceus,Extinct,Oceanian,Terrestrial
MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Isoodon,Isoodon auratus,Least Concern,Australasian,Terrestrial
MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Lagorchestes,Lagorchestes asomatus,Extinct,Australasian,Terrestrial
MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Lagorchestes,Lagorchestes hirsutus,Near Threatened,Australasian,Terrestrial
MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Lagostrophus,Lagostrophus fasciatus,Vulnerable,Australasian,Terrestrial
REPTILIA,SQUAMATA,TROPIDURIDAE,Leiocephalus,Leiocephalus eremitus,Extinct,Neotropical,Terrestrial
REPTILIA,SQUAMATA,GEKKONIDAE,Lepidodactylus,Lepidodactylus listeri,Extinct in the Wild,Indomalayan,Terrestrial
MAMMALIA,RODENTIA,MURIDAE,Leporillus,Leporillus apicalis,Extinct,Australasian,Terrestrial
MAMMALIA,RODENTIA,MURIDAE,Leporillus,Leporillus conditor,Near Threatened,Australasian,Terrestrial
REPTILIA,SQUAMATA,DIPSADIDAE,Erythrolamprus,Erythrolamprus perfuscus,Extinct,Neotropical,Terrestrial
MAMMALIA,PERAMELEMORPHIA,THYLACOMYIDAE,Macrotis,Macrotis lagotis,Vulnerable,Australasian,Terrestrial
MAMMALIA,PERAMELEMORPHIA,THYLACOMYIDAE,Macrotis,Macrotis leucura,Extinct,Australasian,Terrestrial
REPTILIA,SQUAMATA,SCINCIDAE,Chioninia,Chioninia coctei,Extinct,Afrotropical,Terrestrial
MAMMALIA,DASYUROMORPHIA,MYRMECOBIIDAE,Myrmecobius,Myrmecobius fasciatus,Endangered,Australasian,Terrestrial
MAMMALIA,RODENTIA,CRICETIDAE,Nesoryzomys,Nesoryzomys darwini,Extinct,Neotropical,Terrestrial
MAMMALIA,RODENTIA,CRICETIDAE,Nesoryzomys,Nesoryzomys indefessus,Extinct,Neotropical,Terrestrial
MAMMALIA,RODENTIA,MURIDAE,Notomys,Notomys amplus,Extinct,Australasian,Terrestrial
MAMMALIA,RODENTIA,MURIDAE,Notomys,Notomys fuscus,Near Threatened,Australasian,Terrestrial
MAMMALIA,RODENTIA,MURIDAE,Notomys,Notomys longicaudatus,Extinct,Australasian,Terrestrial
MAMMALIA,RODENTIA,MURIDAE,Notomys,Notomys macrotis,Extinct,Australasian,Terrestrial
MAMMALIA,RODENTIA,MURIDAE,Notomys,Notomys mordax,Extinct,Australasian,Terrestrial
MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Onychogalea,Onychogalea fraenata,Vulnerable,Australasian,Terrestrial
MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Onychogalea,Onychogalea lunata,Extinct,Australasian,Terrestrial
MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Antechinomys,Antechinomys laniger,Least Concern,Australasian,Terrestrial
